       sample #	     V5	     V2
            239	   1003	   1167
            240	   1003	   1155
            241	   1003	   1147
            242	   1002	   1135
            243	   1002	   1123
            244	    996	   1113
            245	    994	   1104
            246	    994	   1097
            247	    993	   1089
            248	    994	   1079
            249	    993	   1071
            250	    987	   1061
            251	    987	   1056
            252	    988	   1054
            253	    987	   1051
            254	    989	   1044
            255	    986	   1039
            256	    983	   1033
            257	    979	   1028
            258	    980	   1030
            259	    983	   1028
            260	    984	   1024
            261	    981	   1021
            262	    979	   1020
            263	    979	   1017
            264	    978	   1017
            265	    978	   1016
            266	    979	   1014
            267	    979	   1010
            268	    978	   1010
            269	    976	   1011
            270	    975	   1010
            271	    978	   1013
            272	    977	   1010
            273	    978	   1009
            274	    975	   1008
            275	    974	   1007
            276	    978	   1010
            277	    977	   1011
            278	    978	   1010
            279	    977	   1010
            280	    974	   1008
            281	    975	   1007
            282	    975	   1009
            283	    977	   1013
            284	    976	   1012
            285	    978	   1012
            286	    977	   1011
            287	    975	   1010
            288	    977	   1012
            289	    978	   1016
            290	    979	   1017
            291	    980	   1016
            292	    980	   1016
            293	    977	   1016
            294	    978	   1016
            295	    980	   1020
            296	    983	   1020
            297	    979	   1016
            298	    978	   1018
            299	    978	   1017
            300	    978	   1021
            301	    981	   1020
            302	    981	   1020
            303	    980	   1018
            304	    977	   1019
            305	    976	   1018
            306	    977	   1017
            307	    978	   1021
            308	    979	   1020
            309	    978	   1017
            310	    974	   1015
            311	    973	   1015
            312	    975	   1017
            313	    976	   1016
            314	    976	   1015
            315	    976	   1015
            316	    973	   1012
            317	    973	   1008
            318	    972	   1011
            319	    975	   1012
            320	    975	   1011
            321	    974	   1006
            322	    971	   1005
            323	    969	   1004
            324	    970	   1005
            325	    974	   1004
            326	    973	   1003
            327	    970	   1001
            328	    969	    997
            329	    967	    996
            330	    967	    997
            331	    971	   1000
            332	    969	    997
            333	    969	    995
            334	    968	    993
            335	    966	    994
            336	    969	    994
            337	    969	    994
            338	    971	    993
            339	    969	    992
            340	    966	    990
            341	    963	    988
            342	    964	    990
            343	    966	    991
            344	    967	    988
            345	    967	    987
            346	    965	    986
            347	    963	    987
            348	    966	    987
            349	    965	    987
            350	    969	    985
            351	    969	    986
            352	    963	    983
            353	    965	    982
            354	    964	    983
            355	    967	    984
            356	    968	    982
            357	    966	    981
            358	    963	    980
            359	    964	    979
