       sample #	     V5	     V2
            286	    975	   1067
            287	    978	   1071
            288	    975	   1066
            289	    974	   1065
            290	    974	   1063
            291	    973	   1067
            292	    974	   1068
            293	    975	   1068
            294	    972	   1064
            295	    974	   1064
            296	    968	   1065
            297	    972	   1066
            298	    973	   1067
            299	    973	   1068
            300	    973	   1068
            301	    974	   1067
            302	    970	   1063
            303	    972	   1067
            304	    973	   1069
            305	    976	   1069
            306	    977	   1068
            307	    978	   1067
            308	    982	   1067
            309	    983	   1070
            310	    997	   1073
            311	   1016	   1079
            312	   1065	   1087
            313	   1150	   1107
            314	   1193	   1163
            315	   1150	   1224
            316	   1076	   1220
            317	   1036	   1166
            318	   1033	   1123
            319	   1034	   1108
            320	   1030	   1107
            321	   1025	   1106
            322	   1022	   1100
            323	   1016	   1098
            324	   1017	   1097
            325	   1016	   1092
            326	   1014	   1088
            327	   1015	   1088
            328	   1012	   1086
            329	   1013	   1080
            330	   1010	   1075
            331	   1006	   1066
            332	   1001	   1064
            333	   1000	   1061
            334	    998	   1062
            335	    997	   1056
            336	    990	   1053
            337	    980	   1048
            338	    971	   1045
            339	    964	   1042
            340	    958	   1040
            341	    954	   1033
            342	    944	   1030
            343	    931	   1024
            344	    911	   1021
            345	    898	   1019
            346	    890	   1015
            347	    882	   1016
            348	    874	   1013
            349	    862	   1007
            350	    850	   1002
            351	    843	    998
            352	    840	    994
            353	    839	    985
            354	    838	    972
            355	    837	    965
            356	    835	    957
            357	    837	    956
            358	    841	    953
            359	    843	    945
