       sample #	     V5	   MLII
             95	    977	   1022
             96	    977	   1019
             97	    974	   1017
             98	    972	   1020
             99	    976	   1023
            100	    981	   1023
            101	    980	   1022
            102	    977	   1021
            103	    975	   1020
            104	    977	   1021
            105	    977	   1024
            106	    978	   1025
            107	    979	   1023
            108	    978	   1021
            109	    975	   1021
            110	    973	   1021
            111	    974	   1026
            112	    979	   1025
            113	    978	   1024
            114	    975	   1019
            115	    971	   1020
            116	    973	   1021
            117	    974	   1024
            118	    975	   1025
            119	    978	   1024
            120	    976	   1021
            121	    970	   1020
            122	    970	   1018
            123	    974	   1024
            124	    976	   1026
            125	    975	   1024
            126	    973	   1021
            127	    969	   1020
            128	    970	   1019
            129	    967	   1022
            130	    971	   1025
            131	    973	   1024
            132	    970	   1021
            133	    967	   1020
            134	    967	   1020
            135	    969	   1023
            136	    971	   1023
            137	    968	   1021
            138	    970	   1019
            139	    967	   1017
            140	    966	   1021
            141	    967	   1021
            142	    971	   1022
            143	    970	   1021
            144	    970	   1020
            145	    967	   1018
            146	    967	   1016
            147	    969	   1018
            148	    971	   1020
            149	    970	   1020
            150	    966	   1018
            151	    967	   1016
            152	    964	   1018
            153	    967	   1019
            154	    969	   1020
            155	    971	   1018
            156	    969	   1017
            157	    965	   1017
            158	    966	   1017
            159	    969	   1018
            160	    970	   1021
            161	    970	   1019
            162	    967	   1016
            163	    965	   1013
            164	    965	   1018
            165	    967	   1018
            166	    967	   1021
            167	    968	   1018
            168	    967	   1015
            169	    965	   1015
            170	    962	   1016
            171	    966	   1016
            172	    969	   1021
            173	    971	   1018
            174	    967	   1016
            175	    964	   1015
            176	    966	   1018
            177	    966	   1020
            178	    968	   1021
            179	    969	   1018
            180	    967	   1015
            181	    965	   1015
            182	    967	   1018
            183	    967	   1017
            184	    967	   1019
            185	    967	   1017
            186	    967	   1018
            187	    966	   1013
            188	    965	   1016
            189	    965	   1019
            190	    970	   1021
            191	    971	   1021
            192	    969	   1018
            193	    967	   1015
            194	    965	   1016
            195	    968	   1018
            196	    970	   1019
            197	    971	   1018
            198	    970	   1017
            199	    967	   1014
            200	    967	   1013
            201	    970	   1016
            202	    972	   1020
            203	    971	   1019
            204	    971	   1016
            205	    963	   1014
            206	    965	   1018
            207	    970	   1020
            208	    970	   1021
            209	    971	   1021
            210	    969	   1014
            211	    966	   1014
            212	    965	   1019
            213	    968	   1021
            214	    971	   1022
            215	    972	   1020
            216	    971	   1018
            217	    965	   1018
            218	    966	   1018
            219	    967	   1020
            220	    968	   1024
            221	    975	   1022
            222	    970	   1019
            223	    971	   1016
            224	    970	   1021
            225	    973	   1022
            226	    976	   1025
            227	    979	   1026
            228	    977	   1025
            229	    975	   1024
            230	    976	   1026
            231	    979	   1031
            232	    985	   1031
            233	    985	   1028
            234	    985	   1029
            235	    983	   1026
            236	    983	   1031
            237	    984	   1033
            238	    988	   1035
            239	    984	   1034
            240	    980	   1029
            241	    978	   1028
            242	    978	   1028
            243	    978	   1027
            244	    977	   1029
            245	    976	   1027
            246	    975	   1025
            247	    973	   1023
            248	    972	   1027
            249	    975	   1030
            250	    978	   1030
            251	    976	   1031
            252	    975	   1030
            253	    971	   1029
            254	    976	   1031
            255	    979	   1035
            256	    979	   1036
            257	    980	   1030
            258	    979	   1025
            259	    972	   1023
            260	    971	   1023
            261	    968	   1025
            262	    969	   1028
            263	    967	   1025
            264	    964	   1023
            265	    966	   1023
            266	    966	   1021
            267	    968	   1023
            268	    972	   1025
            269	    972	   1023
            270	    964	   1020
            271	    965	   1020
            272	    963	   1021
            273	    965	   1023
            274	    967	   1024
            275	    969	   1021
            276	    965	   1019
            277	    962	   1018
            278	    963	   1021
            279	    967	   1023
            280	    969	   1025
            281	    967	   1023
            282	    966	   1019
            283	    966	   1018
            284	    961	   1021
            285	    966	   1022
            286	    968	   1025
            287	    970	   1024
            288	    966	   1023
            289	    965	   1020
            290	    964	   1023
            291	    965	   1027
            292	    968	   1029
            293	    968	   1029
            294	    969	   1028
            295	    965	   1030
            296	    966	   1037
            297	    973	   1046
            298	    976	   1052
            299	    981	   1062
            300	    985	   1071
            301	    989	   1081
            302	    991	   1095
            303	    989	   1121
            304	    977	   1151
            305	    963	   1184
            306	    954	   1217
            307	    943	   1249
            308	    927	   1289
            309	    916	   1331
            310	    915	   1376
            311	    930	   1420
            312	    956	   1434
            313	    988	   1400
            314	   1012	   1304
            315	   1015	   1178
            316	    981	   1080
            317	    921	   1026
            318	    879	   1010
            319	    870	   1013
            320	    886	   1019
            321	    918	   1023
            322	    947	   1024
            323	    963	   1023
            324	    966	   1016
            325	    967	   1011
            326	    969	   1009
            327	    970	   1012
            328	    975	   1010
            329	    974	   1010
            330	    974	   1006
            331	    975	   1002
            332	    977	   1005
            333	    979	   1006
            334	    984	   1009
            335	    982	   1008
            336	    984	   1005
            337	    980	   1003
            338	    981	   1008
            339	    982	   1006
            340	    986	   1007
            341	    986	   1006
            342	    986	   1003
            343	    983	   1003
            344	    983	   1003
            345	    984	   1006
            346	    989	   1007
            347	    989	   1004
            348	    987	    999
            349	    983	    997
            350	    984	   1001
            351	    986	   1002
            352	    991	   1005
            353	    990	   1000
            354	    988	    995
            355	    985	    999
            356	    985	   1000
            357	    988	    999
            358	    988	   1003
            359	    990	   1001
